aeroplane,aeroplane
apple,apple
bicycle,bicycle
bird,bird
boat,boat
bus,bus
cat,cat
chair,chair
chocolate_drink,chocolate_drink
coke,coke
cow,cow
diningtable,dining_table
dog,dog
eponge_bicolore,scrubby
eponge_jaune,sponge
frosties,frosties
grape_juice,grape_juice
horse,horse
jus_de_pomme,jus_de_pomme
motorbike,motorbike
orange_fruit,orange
orange_juice,orange_juice
person,person
poivron,paprika
popsi,cereal
pottedplant,potted_plant
pringles,pringles
rice,rice
sheep,sheep
sofa,sofa
sprite,sprite
train,train
tvmonitor,tv_monitor
vienna,sausages
Chewing,chewing_gum
Coca_original,coca_cola
Freedent_chloro,freedent_chloro
Freedent_fruit,freedent_fruit
Oasis_Cass-Fram,oasis_cassis_framboise
orangina,orangina
Pepsi,pepsi
redbull,redbull
schweppes_agrum,schweppes_agrumes
Wasabi,wasabi
