OK,,NOK
,,
apple,,cloth
chocolate_drink,,sponge
coke,,basket
scrubby,,tray
grape_juice,,noodles
orange,,bowl
orange_juice,,cup
paprika,,dish
cereal,,knife
pringles,,fork
sprite,,spoon
sausages,,crackers
,,potato_chips
